,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2016/02,0,3,0,27,1,2,3,3,20,31,55,20,8,10,3,5,15,7,5,5,4,10,21,34,8,11,15,33,26,28,20,9,25,10,14,16,38,48,5,8,3,4,6,7,12,12,24,34,22,0,0,6,20,0,0,5,5,11,2,12,11,30,0,0,35,9,13,27,29,0,2,19,0,0,33,1,2,37,0,0,53,0,32,5,0,13,5,1,17,14,23,12,11,11,11,10,23,37,38,29,24,23,5,9,14,0
2016/03,1,2,0,30,3,7,17,9,14,22,50,17,8,9,6,7,19,6,9,18,3,18,32,37,5,14,28,26,41,41,34,13,42,23,24,27,57,49,5,8,11,13,5,14,13,9,29,40,25,2,0,7,35,0,0,10,13,16,10,30,21,41,1,0,29,16,19,50,36,4,1,38,0,0,49,1,4,59,0,0,79,0,52,8,0,25,3,10,16,22,20,5,11,24,6,12,49,49,44,44,23,12,14,17,21,0
2016/04,4,4,0,37,12,3,12,17,11,32,47,25,13,3,4,1,14,7,12,15,3,17,27,55,6,8,21,20,40,25,30,13,25,13,17,20,58,56,7,5,2,3,2,17,10,13,24,41,29,3,0,10,38,0,0,7,11,16,8,31,30,46,4,0,32,12,21,34,35,4,2,37,0,0,41,0,7,65,0,0,65,0,69,8,0,26,7,11,19,27,19,9,15,16,16,11,40,35,62,44,22,20,12,18,14,0
2016/05,2,6,0,32,11,4,12,26,8,22,46,16,11,7,8,6,12,8,7,7,2,22,24,35,4,9,39,37,53,38,35,18,31,20,18,29,41,63,3,14,1,14,9,21,21,14,24,52,14,1,0,15,44,0,0,5,22,14,15,23,25,44,2,0,25,17,18,38,40,1,0,23,0,0,40,0,6,50,0,0,77,0,45,10,0,18,4,7,23,25,15,5,6,14,2,7,38,55,54,52,27,27,19,24,7,0
2016/06,2,0,0,19,7,5,13,19,9,28,60,25,9,6,6,3,23,7,11,12,5,19,26,35,2,9,17,36,46,35,21,18,26,13,15,27,38,41,5,16,6,9,11,14,24,12,24,34,32,4,1,10,42,0,0,7,9,11,19,35,31,35,3,0,27,9,20,38,40,2,1,29,0,0,36,3,13,48,0,0,64,0,49,5,0,26,3,6,28,26,29,8,12,14,9,7,30,46,50,57,26,23,15,20,20,0
2016/07,0,0,0,17,5,3,21,22,9,28,56,21,7,7,7,6,22,3,7,16,6,18,29,36,9,13,21,31,42,25,26,19,26,11,17,19,41,60,7,11,7,8,9,11,20,16,36,39,20,4,0,9,36,0,0,8,17,17,17,35,25,51,1,0,19,15,22,34,33,5,0,16,0,0,34,2,5,45,0,0,57,0,34,7,0,15,9,8,19,20,20,9,5,15,12,9,31,43,56,36,36,24,20,13,21,0
2016/08,1,3,0,30,6,2,20,13,11,18,34,12,6,10,3,2,23,12,8,12,5,10,22,38,11,16,22,27,35,26,20,16,26,12,20,16,44,46,6,18,5,11,3,20,21,21,32,39,27,1,1,15,46,0,0,11,20,31,16,18,15,55,0,0,30,23,22,41,29,4,0,13,0,0,41,1,6,58,0,0,68,0,44,3,0,30,7,5,24,32,22,15,11,21,15,6,36,35,57,58,33,21,18,16,15,0
2016/09,5,5,0,24,3,4,15,13,10,25,34,16,7,10,7,9,12,7,6,6,6,19,25,29,9,11,19,29,41,31,23,9,22,13,12,22,46,36,3,13,9,6,4,16,19,12,33,46,24,1,0,5,36,0,0,8,8,21,16,28,14,49,0,0,21,13,24,39,28,0,0,21,0,0,36,1,0,64,0,0,62,0,47,2,0,12,9,10,17,19,29,11,18,17,19,10,21,34,54,43,21,20,17,13,9,0
2016/10,1,2,0,25,11,2,13,15,13,25,53,21,12,6,5,7,19,6,7,11,2,12,22,37,8,18,26,20,41,27,16,10,19,4,9,18,37,48,9,11,9,7,7,23,17,9,22,33,20,5,0,10,32,0,0,6,12,17,14,27,15,60,2,0,29,15,29,45,33,2,1,25,0,0,41,0,4,61,0,0,62,0,46,5,0,14,10,12,14,21,25,9,6,11,14,12,29,52,44,46,30,21,20,14,13,0
2016/11,4,4,0,35,9,3,13,19,9,17,44,20,5,11,5,3,28,8,9,12,4,13,26,40,5,14,27,34,41,40,30,11,29,14,21,20,41,44,1,5,2,13,5,18,17,11,24,51,19,4,1,12,33,0,0,2,13,25,25,18,20,58,1,0,34,11,22,40,31,1,1,15,0,0,26,3,3,73,0,0,51,0,35,8,0,24,3,7,20,16,23,20,11,13,17,10,43,39,40,45,29,19,22,12,17,0
2016/12,1,7,0,34,5,4,22,9,2,18,47,16,8,9,8,2,15,7,8,6,5,14,28,33,7,9,22,23,47,36,37,10,35,18,21,28,42,42,8,15,5,13,11,16,8,18,28,44,20,3,0,8,38,0,0,3,7,19,14,22,27,44,2,0,27,16,9,39,36,6,0,27,0,0,39,1,6,56,0,0,59,0,23,5,0,21,5,12,17,27,19,10,8,13,14,13,37,38,56,45,31,19,24,10,12,0
2017/01,3,4,0,36,6,5,10,13,8,19,36,25,5,8,6,5,24,8,9,15,4,10,18,25,6,13,39,20,36,37,22,11,26,11,22,23,35,40,6,12,4,12,14,10,22,10,20,42,22,0,0,8,38,0,0,11,11,13,19,9,20,41,2,0,52,21,21,32,33,5,0,26,0,0,32,0,9,52,0,0,58,0,32,9,0,13,10,8,24,20,22,12,8,13,15,6,33,28,46,43,25,20,16,13,24,0
2017/02,2,4,0,25,7,3,14,24,7,19,59,31,5,10,5,4,15,4,5,7,3,9,16,27,6,8,30,10,21,34,17,7,19,10,14,22,24,49,7,21,8,7,13,10,22,16,18,37,23,3,0,13,18,0,0,9,6,19,20,15,13,39,2,0,37,10,18,22,24,6,1,18,0,0,20,1,3,37,0,0,35,0,29,8,0,9,5,12,16,32,22,7,10,11,7,5,32,20,35,25,18,16,19,11,12,0
2017/03,2,5,0,38,11,6,20,17,13,23,54,30,9,13,9,4,30,11,8,13,5,17,18,40,11,24,37,24,37,53,28,19,27,17,23,19,38,65,12,22,11,10,8,23,21,18,34,48,15,0,0,13,41,0,0,9,11,17,23,37,34,63,4,0,41,21,31,38,29,7,0,28,0,0,44,5,8,55,0,0,51,0,53,14,0,26,10,12,29,32,34,7,26,18,11,15,48,36,48,53,26,25,20,25,20,0
